url_chanson,paroles_chanson,titre_chanson,nom_chanson,pages_chanson,nom_artiste,nom_artiste.s,url_photo
http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay/paroles-hypertranquille.html,"   L'été comme l’hiver On le faisait, on le faisait T'étais à moi toute entière Alors ouais je prends mon temps Alors ouais je prends mon temps Alors ouais je prends mon temps tout l'temps (Hypertranquille dans la super grande ville) Alors ouais je prends mon temps Alors ouais je prends mon temps Alors ouais je prends mon temps tout l'temps (Hypertactile sur les plage de textile) Alors ouais ouais je prends mon temps J'ai gardé quelques cardigans Quelques photos en noir et blanc J'ai gardé la mixtape Mais effacé la sextape Léger, comme peut l'être l'air des vacances J'avoue que j'en ai rien à fair d'c'quon en pense (c'qu'on en pense) Alors ouais je prends mon temps Alors ouais je prends mon temps Alors ouais je prends mon temps tout l'temps (Hypertranquille dans la super grande ville)                 ",Hypertranquille,Hypertranquille,http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay-p1,Benjamin Biolay,benjamin-biolay,http://paroles2chansons.lemonde.fr/lib/images/upload/artists/benjamin-biolay.jpg
http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay/paroles-j-ai-des-doutes.html,   mais voilà j'évite je me dis que ça va durer j'hésite entre l'autre  entre l'autre et tout mais à qui la faute à elle ou à moi  j'ai des doutes j'ai des doutes j'ai des doutes j'ai des doutes                 ,J'ai Des Doutes,J'ai Des Doutes,http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay-p1,Benjamin Biolay,benjamin-biolay,http://paroles2chansons.lemonde.fr/lib/images/upload/artists/benjamin-biolay.jpg
http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay/paroles-j-ai-ta-main.html,"   Que ta main qui joue avec ma main. Je ne te connais pas Tu ne sais rien de moi, Nous ne sommes que deux vagabonds Fille des bois, mauvais garçon Ta robe est déchirée, je n'ai plus de maison, Je n'ai plus que la belle saison, Et ta main dans ma main Qui joue avec mes doigts J'ai mes yeux dans tes yeux Et partout l'on ne voit Que la nuit, belle nuit, Que le ciel merveilleux Qui fleurit, tour à tour, tendre et mystérieux Viens plus près, mon amour, ton cœur contre mon cœur Et dis-moi qu'il n'est pas de plus de charmant bonheur On oublie l'aventure, Et la route et demain, Mais qu'importe puisque j'ai ta main                 ",J'ai Ta Main,J'ai Ta Main,http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay-p1,Benjamin Biolay,benjamin-biolay,http://paroles2chansons.lemonde.fr/lib/images/upload/artists/benjamin-biolay.jpg
http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay/paroles-j-attendrai.html,"   On n'oublie tout  Mais revenir est si doux  J'attendrai Le jour et la nuit, j'attendrai toujours Ton retour J'attendrai Car l'oiseau qui s'enfuit vient chercher l'oubli Dans son nid Le temps passe et court En battant tristement Dans mon coeur si lourd Et pourtant, j'attendrai Ton retour Les fleurs palissent  Le feu s'éteint  L'ombre se glisse  Dans le jardin  L'horloge tisse  Des sons très las  Je crois entendre tes pas  J'attendrai Le jour et la nuit, j'attendrai toujours Ton retour J'attendrai Le jour et la nuit, j'attendrai toujours Ton retour            Cette chanson est une reprise. Sa version originale a été créée par     Rina Ketty            ",J'attendrai,J'attendrai,http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay-p1,Benjamin Biolay,benjamin-biolay,http://paroles2chansons.lemonde.fr/lib/images/upload/artists/benjamin-biolay.jpg
http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay/paroles-jaloux-de-tout.html,"   j'étais jaloux de tout jaloux de tout jaloux de tout j'étais jaloux de tout jaloux de tout tu disais souvent je vais te perdre un jour je répondais tout le temps tu dis n'importe quoi comme toujours tu disais parfois tu dis que du vent je répondais toujours tu dis n'importe quoi comme souvent avant avant tu disais aussi tu vas t'en aller je répondais jamais toi, tu ne m'en voulais jamais puis tu disais mon grand refais-moi l'amour je répondais jamais vraiment mais on refaisait l'amour souvent avant je savais bien bébé que c'était morose qu'on avait sous le pied comme une rose qu'on faisait moins c'est vrai la chose que j'avais tant laissé, dés ecchymoses tu auras compris bébé que je m'en veux qu'en plus de tout gâcher, j'ai donné peu j'avais un pull rayé hedi slimane tu étais ma vie rêvée, ma première dame j'étais jaloux de tout jaloux de tout jaloux de tout j'étais jaloux de tout j'avais sans doute trop d'amour en moi j'étais jaloux de tout                 ",Jaloux De Tout,Jaloux De Tout,http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay-p2,Benjamin Biolay,benjamin-biolay,http://paroles2chansons.lemonde.fr/lib/images/upload/artists/benjamin-biolay.jpg
http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay/paroles-je-mens.html,   Moins ça fait quelque chose Plus tu prends de temps de pause  Et plus je me sens morose Le soleil gît dans les flaques  La nuit le perdra La vie est une paire de claques Un vaste débat  De haut jusqu'en bas La lune est pleine de silences Que tu le veuilles ou non Que tu le veuilles ou non Je mens  Je m'en vais loin de toi Je sens  Ce que ça ne te plait pas Je mens  Je m'en vais loin de toi  Je sens ce que ça ne te plait pas  toi toi toi toi toi toi                 ,Je Mens,Je Mens,http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay-p2,Benjamin Biolay,benjamin-biolay,http://paroles2chansons.lemonde.fr/lib/images/upload/artists/benjamin-biolay.jpg
http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay/paroles-je-ne-t-ai-pas-aime.html,"   Quelqu'un qui prend sur soi Et même si j'ai fait quelques fois De jolies choses il y a sur tes bras Ces ecchimoses en souvenir de moi Et pourtant non Nul mal ne me ronge de l'intérieur Et pourtant non Il n'y a pas péril en la demeure Vu de l'extérieur Je ne t'ai pas aimé mon amour quand le ciel menacant était loin Je ne t'ai pas aimé mon amour jusqu'au tout, jusqu'au tout dernier jour A la craie dans la cour Sous les roues de poids lourds Je ne t'ai pas aimé mon amour quand le ciel menacant était loin Je ne t'ai pas aimé mon amour jusqu'au tout, jusqu'au tout dernier jour A la craie dans la cour Au point de non-retour.                 ",Je Ne T'ai Pas Aimé,Je Ne T'ai Pas Aimé,http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay-p2,Benjamin Biolay,benjamin-biolay,http://paroles2chansons.lemonde.fr/lib/images/upload/artists/benjamin-biolay.jpg
http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay/paroles-l-alcool-l-absence.html,"   J'ai perdu le nord Le froid me mord L'alcool, l'absence Ça va de pair je pense, je pense L'alcool, l'absence Les jours impairs substance  Des nuits immenses Au claire de ta lune alors où les blés s'allongent La nuit n'est que brume, et dans la lueur de mes songes Il y a ta peau brune, que je lèche et je longe Et des flammèches rouges toutes éponges Un légume devant des navets qui me narguent Ivre de rancune, au son de ton nom macabre Ou je sors le sabre Ou alors ou alors ou alors Je fais tourner les tables Et je parle mort Je leur parle fort D’alcool, d'absence Qui vont de pair je pense, je pense D'alcool d'absence Les jour impairs substance  Des nuits immenses L'alcool l'absence Ça va de pair je pense L'alcool l'absence Une vie immense                 ","L'alcool, l'absence","L'alcool, l'absence",http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay-p2,Benjamin Biolay,benjamin-biolay,http://paroles2chansons.lemonde.fr/lib/images/upload/artists/benjamin-biolay.jpg
http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay/paroles-l-ame-des-poetes.html,"   Ou quelque heureux destin Fera-t-il vivre un vieux mendiant Ou dormir un enfant Ou, quelque part au bord de l'eau Au printemps tournera-t-il sur un phono Longtemps, longtemps, longtemps Après que les poètes ont disparu Leur âme légère court encore dans les rues Leur âme légère, c'est leurs chansons Qui rendent gais, qui rendent tristes Filles et garçons Bourgeois, artistes Ou vagabonds. Longtemps, longtemps, longtemps La la la...                 ",L'âme Des Poètes,L'âme Des Poètes,http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay-p2,Benjamin Biolay,benjamin-biolay,http://paroles2chansons.lemonde.fr/lib/images/upload/artists/benjamin-biolay.jpg
http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay/paroles-l-amour-a-mes-pieds.html,"   qu'assagit mon coeur au fond de ce grand lit? J'avais l'amour à mes pieds et je l'ai piétiné, t'étais toute le monde entier et je t'ai négligé j'avais l'amour à mes pieds et je l'ai piétiné t'étais comme une prairie en été et je t'ai bétonnée j'avais l'amour à mes pieds et je l'ai piétiné j'avais l'amour à mes pieds et je l'ai piétiné dis moi pourquoi j'avais l'amour à mes pieds et je l'ai piétiné Il y a tant d'étoiles encore  Tant de bruits à vivre j'naurai pas trop de larmes pour toute une vie         ",L'amour à Mes Pieds,L'amour à Mes Pieds,http://paroles2chansons.lemonde.fr/paroles-benjamin-biolay-p2,Benjamin Biolay,benjamin-biolay,http://paroles2chansons.lemonde.fr/lib/images/upload/artists/benjamin-biolay.jpg
