CODGEO,NOM_COMM,STATUT,POPULATION,superficie_ha,x_ctr,y_ctr,id
76271,FONTAINE-LE-BOURG,Commune simple,1608,1212.38767549915,566681.692941998,6942876.61584711,8441
76621,SAINT-MARTIN-OSMONVILLE,Commune simple,1164,2141.29263149931,577179.534776239,6950564.47966597,8442
76146,BUCHY,Commune simple,1433,369.379584999721,580792.024159443,6944584.65685505,8443
76276,FORGES-LES-EAUX,Commune simple,3989,1589.27311399895,596040.340415411,6946513.26738961,8444
60245,FORMERIE,Commune simple,2097,829.202178999748,608092.936068633,6950817.22065222,8445
60233,FEUQUIERES,Commune simple,1512,1221.18379799943,616956.030410211,6950720.38880371,8446
60178,CREVECOEUR-LE-GRAND,Commune simple,3505,1269.19084899921,633846.931014284,6946343.49234315,8447
60265,FROISSY,Commune simple,870,678.219583999804,643218.610984789,6940967.12153237,8448
60104,BRETEUIL,Commune simple,4536,1713.99898999899,648831.307958684,6948549.92724083,8449
80561,MONTDIDIER,Sous-préfecture,6189,1251.20263349943,668835.535116869,6949936.58183759,8450
80678,ROLLOT,Commune simple,759,1205.43589899958,674603.847949589,6943929.1840128,8451
60350,LASSIGNY,Commune simple,1399,1620.14512499895,688668.571267674,6944546.85802366,8452
60471,NOYON,Commune simple,13894,1824.08019199885,700610.905938245,6942085.96358124,8453
02173,CHAUNY,Commune simple,11874,1337.10019599901,715853.377270102,6946749.6794176,8454
02738,TERGNIER,Commune simple,13938,1841.83824599923,721651.230475376,6950892.91533796,8455
02680,SAINT-GOBAIN,Commune simple,2274,2972.61979299818,728409.295918425,6944089.9184634,8456
02408,LAON,Préfecture de département,25219,4397.77594849757,744968.300859561,6941146.88522286,8457
02430,LIESSE-NOTRE-DAME,Commune simple,1307,1007.8751449993,759064.771026148,6946017.78255936,8458
02720,SISSONNE,Commune simple,2072,5321.39560399687,766619.538608757,6940910.89030964,8459
02264,DIZY-LE-GROS,Commune simple,771,1986.5310584991,773261.16817621,6948965.43243077,8460
08113,CHAUMONT-PORCIEN,Commune simple,472,3595.05706399814,789515.988526115,6950601.98088028,8461
08329,NOVION-PORCIEN,Commune simple,504,1757.63599149871,803322.300032818,6945069.80280033,8462
08402,SAULCES-MONCLIN,Commune simple,716,2011.71338499895,809088.356914448,6942926.74520659,8463
08341,POIX-TERRON,Commune simple,822,1432.6978794991,819422.301814503,6950709.8107916,8464
08211,HARAUCOURT,Commune simple,749,1160.4899674995,841182.623289243,6948989.51350268,8465
08311,MOUZON,Commune simple,2394,4219.65612449754,850006.938741031,6946169.76081021,8466
08090,CARIGNAN,Commune simple,2967,1429.7669419995,856873.409418699,6950940.57564294,8467
08276,MARGUT,Commune simple,778,744.651205499686,864379.698807828,6944743.43074475,8468
55508,THONNE-LA-LONG,Commune simple,277,938.681017999253,875511.660976447,6943519.81296928,8469
