id,x_ctr,y_ctr
267,858408.920235519,6083667.66357256
268,869764.619924492,6083667.66357256
269,881120.319613464,6083667.66357256
270,892476.019302437,6083667.66357256
271,903831.718991409,6083667.66357256
272,915187.418680382,6083667.66357256
273,926543.118369354,6083667.66357256
274,937898.818058327,6083667.66357256
275,949254.517747299,6083667.66357256
276,960610.217436272,6083667.66357256
277,971965.917125245,6083667.66357256
278,983321.616814217,6083667.66357256
279,994677.316503189,6083667.66357256
280,1006033.01619216,6083667.66357256
281,1017388.71588113,6083667.66357256
282,1028744.41557011,6083667.66357256
283,1040100.11525908,6083667.66357256
284,1051455.81494805,6083667.66357256
285,1062811.51463702,6083667.66357256
286,1074167.214326,6083667.66357256
287,1085522.91401497,6083667.66357256
288,1096878.61370394,6083667.66357256
289,1108234.31339291,6083667.66357256
290,1119590.01308189,6083667.66357256
291,1130945.71277086,6083667.66357256
292,1142301.41245983,6083667.66357256
293,1153657.1121488,6083667.66357256
294,1165012.81183778,6083667.66357256
295,1176368.51152675,6083667.66357256
296,1187724.21121572,6083667.66357256
297,1199079.91090469,6083667.66357256
298,1210435.61059367,6083667.66357256
299,1221791.31028264,6083667.66357256
300,1233147.00997161,6083667.66357256
301,108932.740763332,6094180.79221905
302,120288.440452305,6094180.79221905
303,131644.140141277,6094180.79221905
304,142999.83983025,6094180.79221905
305,154355.539519222,6094180.79221905
306,165711.239208195,6094180.79221905
307,177066.938897168,6094180.79221905
308,188422.63858614,6094180.79221905
309,199778.338275113,6094180.79221905
310,211134.037964085,6094180.79221905
311,222489.737653058,6094180.79221905
312,233845.43734203,6094180.79221905
313,245201.137031003,6094180.79221905
314,256556.836719975,6094180.79221905
315,267912.536408948,6094180.79221905
316,279268.23609792,6094180.79221905
317,290623.935786893,6094180.79221905
318,301979.635475865,6094180.79221905
319,313335.335164838,6094180.79221905
320,324691.03485381,6094180.79221905
321,336046.734542783,6094180.79221905
322,347402.434231755,6094180.79221905
323,358758.133920728,6094180.79221905
324,370113.8336097,6094180.79221905
325,381469.533298673,6094180.79221905
326,392825.232987646,6094180.79221905
327,404180.932676618,6094180.79221905
328,415536.632365591,6094180.79221905
329,426892.332054563,6094180.79221905
330,438248.031743536,6094180.79221905
331,449603.731432508,6094180.79221905
332,460959.431121481,6094180.79221905
333,472315.130810453,6094180.79221905
334,483670.830499426,6094180.79221905
335,495026.530188398,6094180.79221905
336,506382.229877371,6094180.79221905
337,517737.929566343,6094180.79221905
338,529093.629255316,6094180.79221905
339,540449.328944288,6094180.79221905
340,551805.028633261,6094180.79221905
341,563160.728322233,6094180.79221905
342,574516.428011206,6094180.79221905
343,585872.127700178,6094180.79221905
344,597227.827389151,6094180.79221905
345,608583.527078123,6094180.79221905
346,619939.226767096,6094180.79221905
347,631294.926456068,6094180.79221905
348,642650.626145041,6094180.79221905
349,654006.325834014,6094180.79221905
350,665362.025522986,6094180.79221905
351,676717.725211959,6094180.79221905
352,688073.424900931,6094180.79221905
353,699429.124589904,6094180.79221905
354,710784.824278876,6094180.79221905
355,722140.523967849,6094180.79221905
356,733496.223656821,6094180.79221905
357,744851.923345794,6094180.79221905
358,756207.623034766,6094180.79221905
359,767563.322723739,6094180.79221905
360,778919.022412711,6094180.79221905
361,790274.722101684,6094180.79221905
362,801630.421790656,6094180.79221905
363,812986.121479629,6094180.79221905
364,824341.821168602,6094180.79221905
365,835697.520857574,6094180.79221905
366,847053.220546547,6094180.79221905
367,858408.920235519,6094180.79221905
368,869764.619924492,6094180.79221905
369,881120.319613464,6094180.79221905
370,892476.019302437,6094180.79221905
371,903831.718991409,6094180.79221905
372,915187.418680382,6094180.79221905
373,926543.118369354,6094180.79221905
374,937898.818058327,6094180.79221905
375,949254.517747299,6094180.79221905
376,960610.217436272,6094180.79221905
377,971965.917125244,6094180.79221905
378,983321.616814217,6094180.79221905
379,994677.316503189,6094180.79221905
380,1006033.01619216,6094180.79221905
381,1017388.71588113,6094180.79221905
382,1028744.41557011,6094180.79221905
383,1040100.11525908,6094180.79221905
384,1051455.81494805,6094180.79221905
385,1062811.51463702,6094180.79221905
386,1074167.214326,6094180.79221905
387,1085522.91401497,6094180.79221905
388,1096878.61370394,6094180.79221905
389,1108234.31339291,6094180.79221905
390,1119590.01308189,6094180.79221905
391,1130945.71277086,6094180.79221905
392,1142301.41245983,6094180.79221905
393,1153657.1121488,6094180.79221905
394,1165012.81183778,6094180.79221905
395,1176368.51152675,6094180.79221905
396,1187724.21121572,6094180.79221905
397,1199079.91090469,6094180.79221905
398,1210435.61059367,6094180.79221905
399,1221791.31028264,6094180.79221905
400,1233147.00997161,6094180.79221905
401,108932.740763332,6104693.92086553
402,120288.440452305,6104693.92086553
403,131644.140141277,6104693.92086553
404,142999.83983025,6104693.92086553
405,154355.539519222,6104693.92086553
406,165711.239208195,6104693.92086553
407,177066.938897168,6104693.92086553
408,188422.63858614,6104693.92086553
409,199778.338275113,6104693.92086553
410,211134.037964085,6104693.92086553
411,222489.737653058,6104693.92086553
412,233845.43734203,6104693.92086553
413,245201.137031003,6104693.92086553
414,256556.836719975,6104693.92086553
415,267912.536408948,6104693.92086553
416,279268.23609792,6104693.92086553
417,290623.935786893,6104693.92086553
418,301979.635475865,6104693.92086553
419,313335.335164838,6104693.92086553
420,324691.03485381,6104693.92086553
421,336046.734542783,6104693.92086553
422,347402.434231755,6104693.92086553
423,358758.133920728,6104693.92086553
424,370113.8336097,6104693.92086553
425,381469.533298673,6104693.92086553
426,392825.232987646,6104693.92086553
427,404180.932676618,6104693.92086553
428,415536.632365591,6104693.92086553
429,426892.332054563,6104693.92086553
430,438248.031743536,6104693.92086553
431,449603.731432508,6104693.92086553
432,460959.431121481,6104693.92086553
433,472315.130810453,6104693.92086553
434,483670.830499426,6104693.92086553
435,495026.530188398,6104693.92086553
436,506382.229877371,6104693.92086553
437,517737.929566343,6104693.92086553
438,529093.629255316,6104693.92086553
439,540449.328944288,6104693.92086553
440,551805.028633261,6104693.92086553
441,563160.728322233,6104693.92086553
442,574516.428011206,6104693.92086553
