alti,CODGEO
126.980003356934,76069
132.119995117188,76069
131.600006103516,76069
128.330001831055,76069
115.690002441406,76069
103.25,76069
122.330001831055,76069
128.860000610352,76069
109.26000213623,76069
82.8000030517578,76069
51.2000007629395,76069
3.99000000953674,76069
-0.0700000002980232,76069
-0.0500000007450581,76069
1.01999998092651,76069
-0.0500000007450581,76069
10.5100002288818,76069
26.5100002288818,76069
40.310001373291,76069
53.4099998474121,76069
74.4800033569336,76069
99.4800033569336,76069
109.940002441406,76069
127.910003662109,76069
131.190002441406,76069
123.519996643066,76069
118.26000213623,76069
93.8300018310547,76069
97.370002746582,76069
102.870002746582,76069
82.1900024414063,76069
55.9300003051758,76069
4.13000011444092,76069
-0.0500000007450581,76069
-0.0500000007450581,76069
3.02999997138977,76069
-0.0500000007450581,76069
9.47999954223633,76069
46.3800010681152,76069
51.6800003051758,76069
74.1800003051758,76069
84.0400009155274,76069
108.699996948242,76069
117.809997558594,76069
120.980003356934,76069
129.970001220703,76069
122.839996337891,76069
121.080001831055,76069
106.690002441406,76069
73.9000015258789,76069
68.8000030517578,76069
55.5,76069
-0.0500000007450581,76069
-0.0500000007450581,76069
-0.0500000007450581,76069
3,76069
-0.0500000007450581,76069
10.6000003814697,76069
58.3800010681152,76069
82.5500030517578,76069
92.1600036621094,76069
116.230003356934,76069
126.220001220703,76069
129.779998779297,76069
124.629997253418,76069
124.599998474121,76069
124.730003356934,76069
113.269996643066,76069
111.190002441406,76069
86.9700012207031,76069
59.9700012207031,76069
37.4700012207031,76069
-0.0500000007450581,76069
-0.0500000007450581,76069
-0.0500000007450581,76069
2.83999991416931,76069
-0.0500000007450581,76069
9.5600004196167,76069
56.8800010681152,76069
88.6800003051758,76069
97.7200012207031,76069
118.580001831055,76069
129,76069
129.25,76069
126.599998474121,76069
124.339996337891,76069
117.410003662109,76069
103.26000213623,76069
88.3000030517578,76069
69.0899963378906,76069
56.0800018310547,76069
31.6399993896484,76069
-0.0299999993294477,76069
-0.0299999993294477,76069
-0.0299999993294477,76069
3.08999991416931,76069
-0.0299999993294477,76069
9.80000019073486,76069
53.6100006103516,76069
61.6800003051758,76069
74.8600006103516,76069
97.75,76069
126.199996948242,76069
129.080001831055,76069
126.48999786377,76069
123.830001831055,76069
121.839996337891,76069
118.559997558594,76069
104.080001831055,76069
79.9800033569336,76069
50.7000007629395,76069
27.4500007629395,76069
-0.0299999993294477,76069
-0.0299999993294477,76069
-0.0299999993294477,76069
3.92000007629395,76069
-0.0299999993294477,76069
9.01000022888184,76069
25.7000007629395,76069
42.6800003051758,76069
63.1300010681152,76069
88.620002746582,76069
123.040000915527,76069
126.98999786377,76069
124.730003356934,76069
