interval,interval_min,interval_max,type_betail,nb
"66000,68000",66000,68000,total_porcins,0
"68000,70000",68000,70000,total_bovins,0
"68000,70000",68000,70000,total_caprins,0
"68000,70000",68000,70000,total_equides,0
"68000,70000",68000,70000,total_ovins,0
"68000,70000",68000,70000,total_population,2.73840819683146
"68000,70000",68000,70000,total_porcins,0
"70000,72000",70000,72000,total_bovins,0
"70000,72000",70000,72000,total_caprins,0
"70000,72000",70000,72000,total_equides,0
"70000,72000",70000,72000,total_ovins,0
"70000,72000",70000,72000,total_population,1.24265405770731
"70000,72000",70000,72000,total_porcins,0
"72000,74000",72000,74000,total_bovins,0
"72000,74000",72000,74000,total_caprins,0
"72000,74000",72000,74000,total_equides,0
"72000,74000",72000,74000,total_ovins,0
"72000,74000",72000,74000,total_population,41.4899748200762
"72000,74000",72000,74000,total_porcins,0
"74000,76000",74000,76000,total_bovins,0
"74000,76000",74000,76000,total_caprins,0
"74000,76000",74000,76000,total_equides,0
"74000,76000",74000,76000,total_ovins,0
"74000,76000",74000,76000,total_population,43.8346857207348
"74000,76000",74000,76000,total_porcins,0
"76000,78000",76000,78000,total_bovins,0
"76000,78000",76000,78000,total_caprins,0
"76000,78000",76000,78000,total_equides,0
"76000,78000",76000,78000,total_ovins,0
"76000,78000",76000,78000,total_population,4.7325459710788
"76000,78000",76000,78000,total_porcins,0
"78000,80000",78000,80000,total_bovins,0
"78000,80000",78000,80000,total_caprins,0
"78000,80000",78000,80000,total_equides,0
"78000,80000",78000,80000,total_ovins,0
"78000,80000",78000,80000,total_population,2.93869387610727
"78000,80000",78000,80000,total_porcins,0
"80000,82000",80000,82000,total_bovins,0
"80000,82000",80000,82000,total_caprins,0
"80000,82000",80000,82000,total_equides,0
"80000,82000",80000,82000,total_ovins,0
"80000,82000",80000,82000,total_population,2.7102749491155
"80000,82000",80000,82000,total_porcins,0
"82000,84000",82000,84000,total_bovins,0
"82000,84000",82000,84000,total_caprins,0
"82000,84000",82000,84000,total_equides,0
"82000,84000",82000,84000,total_ovins,0
"82000,84000",82000,84000,total_population,4.15516795775096
"82000,84000",82000,84000,total_porcins,0
"84000,86000",84000,86000,total_bovins,0
"84000,86000",84000,86000,total_caprins,0
"84000,86000",84000,86000,total_equides,0
"84000,86000",84000,86000,total_ovins,0
"84000,86000",84000,86000,total_population,3.7042215729509
"84000,86000",84000,86000,total_porcins,0
"86000,88000",86000,88000,total_bovins,0
