interval,interval_min,interval_max,CODE_CULTU,CODE_GROUP,area_vect,pct_area_vect
"48000,50000",48000,50000,PRL,18,38014.4505975563,0.00949861962300553
"48000,50000",48000,50000,PTR,19,8003.35856403783,0.00199978843601138
"50000,52000",50000,52000,000,0,939386.229354683,0.234728027641002
"50000,52000",50000,52000,BTA,28,1795.36863848148,0.00044861562393646
"50000,52000",50000,52000,BTH,1,1002934.90487952,0.250607178089471
"50000,52000",50000,52000,BTN,24,522465.29752228,0.130550400853247
"50000,52000",50000,52000,BTP,1,119621.200323081,0.0298902065396196
"50000,52000",50000,52000,CHV,9,51443.0946726948,0.0128542826911207
"50000,52000",50000,52000,CZH,5,41003.9790597456,0.0102458209726353
"50000,52000",50000,52000,J5M,11,946.397056761936,0.000236479849881964
"50000,52000",50000,52000,J6S,11,173471.611169257,0.0433460145242267
"50000,52000",50000,52000,LEC,15,106719.927254186,0.0266665161267851
"50000,52000",50000,52000,MIS,2,208624.971887705,0.0521299191297502
"50000,52000",50000,52000,ORH,3,292031.466511691,0.0729710187368705
"50000,52000",50000,52000,ORP,3,217369.064992186,0.0543148390953474
"50000,52000",50000,52000,PHI,8,116223.206480194,0.0290411368303213
"50000,52000",50000,52000,PPH,18,101202.248332415,0.0252877926049877
"50000,52000",50000,52000,PPR,8,86260.5927453265,0.0215542640136034
"50000,52000",50000,52000,SNE,28,20520.3035366593,0.00512748667719302
"52000,54000",52000,54000,000,0,2193127.84032339,0.547956868055666
"52000,54000",52000,54000,BTA,28,15197.8502288997,0.00379720974741671
"52000,54000",52000,54000,BTH,1,811022.08203769,0.202635300973529
"52000,54000",52000,54000,BTN,24,64234.0954577625,0.0160490023072408
"52000,54000",52000,54000,BTP,1,51324.1429018322,0.0128234278381065
"52000,54000",52000,54000,CZH,5,147736.400998802,0.0369122009673555
"52000,54000",52000,54000,J5M,11,2444.27783763595,0.000610707138883145
"52000,54000",52000,54000,J6S,11,78860.5496947718,0.0197034477559335
"52000,54000",52000,54000,MCR,4,2219.03852974623,0.000554430699614527
"52000,54000",52000,54000,MCT,28,5248.31047645956,0.00131129965084044
"52000,54000",52000,54000,MIS,2,100416.089970976,0.025089137601198
"52000,54000",52000,54000,ORH,3,86441.0741030346,0.0215974551806711
"52000,54000",52000,54000,ORP,3,180820.830672209,0.045178404210015
"52000,54000",52000,54000,PHI,8,59383.0954040736,0.0148369713679203
"52000,54000",52000,54000,PPH,18,115275.987278727,0.0288019092138111
"52000,54000",52000,54000,PPR,8,79010.0555128641,0.0197408020488898
"52000,54000",52000,54000,SNE,28,9611.39984496633,0.00240142524290871
"54000,56000",54000,56000,000,0,1367483.06633624,0.3418474577892
"54000,56000",54000,56000,AVP,4,1560.53992948309,0.000390108382915187
"54000,56000",54000,56000,BTA,28,32863.4841963978,0.00821531088990602
"54000,56000",54000,56000,BTH,1,726020.229332042,0.181492682293783
"54000,56000",54000,56000,CZH,5,328476.777892533,0.0821135955754063
"54000,56000",54000,56000,FET,16,101269.382299914,0.0253156194349511
"54000,56000",54000,56000,J5M,11,9309.92465867056,0.00232732247668871
"54000,56000",54000,56000,J6S,11,125137.688629864,0.0312822891813546
"54000,56000",54000,56000,MCR,4,4298.84717422631,0.00107463851956191
"54000,56000",54000,56000,MIS,2,6862.35502150655,0.00171547178630449
"54000,56000",54000,56000,ORP,3,47810.8592640199,0.0119518998783008
"54000,56000",54000,56000,PPH,18,965230.103873947,0.241291073588902
"54000,56000",54000,56000,PPR,8,44970.990464583,0.0112419810841008
"54000,56000",54000,56000,SNE,28,31695.0149044409,0.00792321348351518
"54000,56000",54000,56000,TRN,6,136147.203898114,0.0340344803408589
"54000,56000",54000,56000,TTH,4,71136.2712575448,0.0177828552942501
"56000,58000",56000,58000,000,0,817844.2009771,0.204300493251074
"56000,58000",56000,58000,AVP,4,141667.661925665,0.0353891036637063
"56000,58000",56000,58000,BOR,28,394.205127431545,0.0000984738925582015
"56000,58000",56000,58000,BTA,28,25324.1990239341,0.00632607817674428
"56000,58000",56000,58000,BTH,1,1576604.63356904,0.393841643573753
"56000,58000",56000,58000,BTN,24,287197.761097634,0.0717430583756056
"56000,58000",56000,58000,CZH,5,522598.365160194,0.130546996172223
"56000,58000",56000,58000,FET,16,18297.4018528727,0.00457075836606644
"56000,58000",56000,58000,J5M,11,29339.5522507566,0.00732912820000917
"56000,58000",56000,58000,J6P,11,3566.7307229666,0.000890982469674857
"56000,58000",56000,58000,J6S,11,14158.5770802646,0.00353686469595985
"56000,58000",56000,58000,MIS,2,53519.754590191,0.0133694317920078
"56000,58000",56000,58000,ORP,3,153261.99379316,0.038285410462258
"56000,58000",56000,58000,PPH,18,267238.233986932,0.0667570949990813
"56000,58000",56000,58000,SNE,28,18311.6461409064,0.00457431664167421
"56000,58000",56000,58000,SOJ,7,65155.8602079702,0.016276173827219
"56000,58000",56000,58000,TRN,6,8662.76836790469,0.00216399144038472
"58000,60000",58000,60000,000,0,612151.736500353,0.152986541850937
"58000,60000",58000,60000,BFS,28,10669.3454011688,0.00266644062151913
"58000,60000",58000,60000,BTA,28,38263.8939348721,0.00956276109631483
"58000,60000",58000,60000,BTH,1,776863.830701975,0.194150737246334
"58000,60000",58000,60000,CZH,5,190199.819693159,0.0475339869847962
"58000,60000",58000,60000,J5M,11,16965.5601280415,0.00423996571404273
"58000,60000",58000,60000,J6S,11,40658.27534192,0.0101611554314034
"58000,60000",58000,60000,MIS,2,729594.369617978,0.182337340411522
"58000,60000",58000,60000,ORH,3,5355.70312879165,0.00133847615223355
"58000,60000",58000,60000,ORP,3,155522.824639432,0.0388676494760915
"58000,60000",58000,60000,PPH,18,58960.2076486212,0.0147351019970039
"58000,60000",58000,60000,SNE,28,79506.5954383542,0.0198699740034933
"58000,60000",58000,60000,SOJ,7,942861.563852859,0.235636234445171
"58000,60000",58000,60000,TRN,6,343769.981034002,0.0859136345691376
"60000,62000",60000,62000,000,0,2139680.09622874,0.534071365571141
"60000,62000",60000,62000,BFS,28,4577.46335001703,0.00114255028427114
"60000,62000",60000,62000,BOR,28,1069.9780868357,0.000267070137715789
"60000,62000",60000,62000,BTA,28,15036.6369494913,0.0037531952759511
"60000,62000",60000,62000,BTH,1,969307.520112947,0.241942424868805
"60000,62000",60000,62000,CZH,5,54408.0762506203,0.0135804392593468
"60000,62000",60000,62000,J5M,11,13509.4941024439,0.00337201527283646
"60000,62000",60000,62000,MIS,2,316886.769595971,0.0790960060187687
"60000,62000",60000,62000,ORH,3,285500.998809415,0.0712620118188776
"60000,62000",60000,62000,ORP,3,130614.000482365,0.0326016948623656
"60000,62000",60000,62000,PPH,18,45809.4040083885,0.0114341816787853
"60000,62000",60000,62000,PRL,18,10654.9915473312,0.00265952181163058
"60000,62000",60000,62000,SNE,28,2199.86019369881,0.000549092520786212
"60000,62000",60000,62000,TRN,6,17100.8532300517,0.00426843061871854
"62000,64000",62000,64000,000,0,2703758.95314996,0.663865631474135
"62000,64000",62000,64000,BOR,28,136.880433051847,0.0000336088448338011
"62000,64000",62000,64000,BTH,1,573937.299810018,0.140921307915057
"62000,64000",62000,64000,CZH,5,203207.391279836,0.0498943897994437
"62000,64000",62000,64000,J5M,11,10577.8057551674,0.00259721440370408
"62000,64000",62000,64000,J6S,11,58441.5386889978,0.0143494037961082
"62000,64000",62000,64000,MIS,2,97547.142114358,0.0239511717650718
"62000,64000",62000,64000,ORH,3,345282.607603895,0.0847787322412546
"62000,64000",62000,64000,ORP,3,77988.0890312682,0.0191487528545716
"62000,64000",62000,64000,PPH,18,1872.59726097435,0.000459786905820565
"64000,66000",64000,66000,000,0,2196132.19459592,0.559222923811684
"64000,66000",64000,66000,BFS,28,76.7411611825228,0.0000195413630558293
"64000,66000",64000,66000,BTA,28,3893.57037071441,0.000991458443228224
"64000,66000",64000,66000,BTH,1,697213.843845154,0.177538476616527
"64000,66000",64000,66000,CZH,5,17590.9306195118,0.00447935314541566
"64000,66000",64000,66000,J6S,11,10061.416673995,0.00256203832536338
"64000,66000",64000,66000,LUZ,16,152218.616521179,0.0387609361581285
"64000,66000",64000,66000,MIS,2,71284.8960453429,0.0181519801440839
"64000,66000",64000,66000,MLG,16,2057.33722262643,0.000523880183412844
"64000,66000",64000,66000,ORH,3,251034.388041402,0.063923376198954
"64000,66000",64000,66000,PHI,8,55211.116686522,0.0140589542725709
"64000,66000",64000,66000,PPH,18,340385.308091891,0.0866756872296168
"64000,66000",64000,66000,PTR,19,43927.5358698195,0.0111857041690894
"64000,66000",64000,66000,SNE,28,16028.0076108179,0.00408137055731597
"64000,66000",64000,66000,TRN,6,69180.3969327314,0.0176160906608325
"64000,66000",64000,66000,VRG,20,817.73793230718,0.000208228720721743
"66000,68000",66000,68000,000,0,1127000.73152937,0.28158896917822
"66000,68000",66000,68000,AVP,4,6172.64476536587,0.0015422782150496
"66000,68000",66000,68000,BFS,28,124.777675062011,0.00003117656973433
"66000,68000",66000,68000,BOR,28,673.280443307012,0.000168223800299934
"66000,68000",66000,68000,BTA,28,7199.47204946913,0.00179883815184958
"66000,68000",66000,68000,BTH,1,1280497.31345265,0.319941157483815
"66000,68000",66000,68000,CZH,5,94595.8927016258,0.0236354415477592
"66000,68000",66000,68000,FVL,8,6503.39675619104,0.00162491889978431
"66000,68000",66000,68000,J5M,11,7283.55123323668,0.00181984592054403
"66000,68000",66000,68000,J6S,11,18394.3859102975,0.0045959652218842
"66000,68000",66000,68000,MIS,2,424931.995234298,0.106172213700779
"66000,68000",66000,68000,ORH,3,365890.793291634,0.0914203588625685
"66000,68000",66000,68000,ORP,3,130434.339124364,0.0325899265829491
"66000,68000",66000,68000,PHI,8,219276.81459252,0.0547878368295294
"66000,68000",66000,68000,PPH,18,64069.5597631256,0.016008225003473
"66000,68000",66000,68000,PTR,19,3329.22683631396,0.00083183047425882
"66000,68000",66000,68000,TRN,6,245911.881735281,0.0614427935575031
"68000,70000",68000,70000,000,0,3640747.85558118,0.907371132097531
"68000,70000",68000,70000,AVP,4,4825.22496852186,0.00120257431055028
"68000,70000",68000,70000,BTA,28,2143.95615739199,0.000534330858073032
"68000,70000",68000,70000,BTH,1,120470.448934775,0.030024437827155
"68000,70000",68000,70000,BTP,1,12520.8661954822,0.00312053264474774
"68000,70000",68000,70000,FVL,8,49508.0461004274,0.0123387209496579
"68000,70000",68000,70000,J5M,11,11882.3501646183,0.00296139747890557
"68000,70000",68000,70000,J6S,11,2603.72254575649,0.000648916862064263
"68000,70000",68000,70000,MIS,2,95781.1934535403,0.0238712191519558
"68000,70000",68000,70000,TRN,6,71929.4784291014,0.0179267378193594
"70000,72000",70000,72000,000,0,1369053.16936964,0.343059891807848
"70000,72000",70000,72000,BFS,28,4701.50901749358,0.00117811288192525
"70000,72000",70000,72000,BTA,28,7134.22919543009,0.0017877084328606
"70000,72000",70000,72000,BTH,1,1044459.25014462,0.261722543264917
"70000,72000",70000,72000,BTP,1,56501.2127463212,0.014158179072541
"70000,72000",70000,72000,J5M,11,20205.1789542031,0.00506305135627322
"70000,72000",70000,72000,J6S,11,42382.8715115106,0.0106203788432405
"70000,72000",70000,72000,LIP,7,6758.27214113623,0.00169350041431459
"70000,72000",70000,72000,MIS,2,112801.991496661,0.0282661330212414
"70000,72000",70000,72000,ORH,3,21092.6121445596,0.00528542601715697
"70000,72000",70000,72000,ORP,3,463946.827106851,0.11625665961911
"70000,72000",70000,72000,PHI,8,366675.634984253,0.0918822632171331
"70000,72000",70000,72000,PPH,18,10071.0919160722,0.00252363296065806
"70000,72000",70000,72000,PTR,19,8995.08848867938,0.0022540060187357
"70000,72000",70000,72000,SNE,28,387.386583701707,0.0000970720513022219
"70000,72000",70000,72000,TRN,6,455545.50633711,0.114151441020743
