id,id_c,x,y,pct_cloud,date_MM,NAME_FR,ADM0_A3,POP_MAX,RANK_MAX,continent,admin,region_un,region_wb,subregion,name_fr
844083,1133,112.5,38,0.454855666241863,AN,Taiyuan,CHN,2913000,12,Asia,China,Asia,East Asia & Pacific,Eastern Asia,RÈpublique populaire de Chine
849100,1134,114.25,30.5,0.608304581294457,AN,Wuhan,CHN,7243000,13,Asia,China,Asia,East Asia & Pacific,Eastern Asia,RÈpublique populaire de Chine
845486,1135,113,28.25,0.653715315528891,AN,Changsha,CHN,2604000,12,Asia,China,Asia,East Asia & Pacific,Eastern Asia,RÈpublique populaire de Chine
815912,1136,102.75,25,0.572374929476417,AN,Kunming,CHN,2931000,12,Asia,China,Asia,East Asia & Pacific,Eastern Asia,RÈpublique populaire de Chine
847675,1137,113.75,34.75,0.527548827118043,AN,Zhengzhou,CHN,2636000,12,Asia,China,Asia,East Asia & Pacific,Eastern Asia,RÈpublique populaire de Chine
875822,1138,123.5,41.75,0.438018401802489,AN,Shenyang,CHN,4787000,12,Asia,China,Asia,East Asia & Pacific,Eastern Asia,RÈpublique populaire de Chine
857056,1139,117,36.75,0.478907044243181,AN,Jinan,CHN,2798000,12,Asia,China,Asia,East Asia & Pacific,Eastern Asia,RÈpublique populaire de Chine
857786,1140,117.25,39,0.428693373828675,AN,Tianjin,CHN,7180000,13,Asia,China,Asia,East Asia & Pacific,Eastern Asia,RÈpublique populaire de Chine
854140,1141,116,28.75,0.628497970488036,AN,Nanchang,CHN,2350000,12,Asia,China,Asia,East Asia & Pacific,Eastern Asia,RÈpublique populaire de Chine
862084,1142,118.75,32,0.602877827756333,AN,Nankin,CHN,3679000,12,Asia,China,Asia,East Asia & Pacific,Eastern Asia,RÈpublique populaire de Chine
866403,1143,120.25,30.25,0.629175830971111,AN,Hangzhou,CHN,3007000,12,Asia,China,Asia,East Asia & Pacific,Eastern Asia,RÈpublique populaire de Chine
901749,1144,132.5,34.5,0.618755754422058,AN,Hiroshima,JPN,2045000,12,Asia,Japan,Asia,East Asia & Pacific,Eastern Asia,Japon
880877,1145,125.25,43.75,0.465251467275349,AN,Changchun,CHN,3183000,12,Asia,China,Asia,East Asia & Pacific,Eastern Asia,RÈpublique populaire de Chine
836163,1146,109.75,40.75,0.378292899409478,AN,Baotou,CHN,2036000,12,Asia,China,Asia,East Asia & Pacific,Eastern Asia,RÈpublique populaire de Chine
885211,1147,126.75,45.75,0.493858460619143,AN,Harbin,CHN,3621000,12,Asia,China,Asia,East Asia & Pacific,Eastern Asia,RÈpublique populaire de Chine
927018,1148,141.25,43,0.683206971283212,AN,Sapporo,JPN,2544000,12,Asia,Japan,Asia,East Asia & Pacific,Eastern Asia,Japon
317675,1149,-70,18.5,0.515320294282653,AN,Saint-Domingue,DOM,2154000,12,North America,Dominican Republic,Americas,Latin America & Caribbean,Caribbean,RÈpublique dominicaine
518782,1150,-0.25,5.5,0.619044052154729,AN,Accra,GHA,2121000,12,Africa,Ghana,Africa,Sub-Saharan Africa,Western Africa,Ghana
742385,1151,77.25,28.75,0.313583786154843,AN,Delhi,IND,15926000,14,Asia,India,Asia,South Asia,Southern Asia,Inde
745945,1152,78.5,17.5,0.520102132859668,AN,Hyderabad,IND,6376000,13,Asia,India,Asia,South Asia,Southern Asia,Inde
732250,1153,73.75,18.5,0.489475373305719,AN,Pune,IND,4672000,12,Asia,India,Asia,South Asia,Southern Asia,Inde
747402,1154,79,21.25,0.423641443249036,AN,Nagpur,IND,2454000,12,Asia,India,Asia,South Asia,Southern Asia,Inde
557826,1155,13.25,33,0.275540041507956,AN,Tripoli,LBY,2189000,12,Africa,Libya,Africa,Middle East & North Africa,Northern Africa,Libye
619828,1156,34.75,32,0.271038236717383,AN,Tel Aviv,ISR,3112000,12,Asia,Israel,Asia,Middle East & North Africa,Western Asia,IsraÎl
591822,1157,25,60.25,0.698694931173867,AN,Helsinki,FIN,1115000,12,Europe,Finland,Europe,Europe & Central Asia,Northern Europe,Finlande
691224,1158,59.5,36.25,0.31246186048498,AN,Mechhed,IRN,2469000,12,Asia,Iran,Asia,Middle East & North Africa,Southern Asia,Iran
738052,1159,75.75,27,0.303056724246055,AN,Jaipur,IND,2917000,12,Asia,India,Asia,South Asia,Southern Asia,Inde
751028,1160,80.25,26.5,0.343906525635358,AN,Kanpur,IND,3162000,12,Asia,India,Asia,South Asia,Southern Asia,Inde
765445,1161,85.25,25.75,0.401813687855434,AN,Patna,IND,2158000,12,Asia,India,Asia,South Asia,Southern Asia,Inde
750974,1162,80.25,13,0.625676364835465,AN,Chennai,IND,7163000,13,Asia,India,Asia,South Asia,Southern Asia,Inde
728663,1163,72.5,23,0.320456251564654,AN,Ahmedabad,IND,5375000,13,Asia,India,Asia,South Asia,Southern Asia,Inde
729377,1164,72.75,21.25,0.344258344215412,AN,Surate,IND,3842000,12,Asia,India,Asia,South Asia,Southern Asia,Inde
555754,1165,12.5,55.75,0.666839376656395,AN,Copenhague,DNK,1085000,12,Europe,Denmark,Europe,Europe & Central Asia,Northern Europe,Danemark
507966,1166,-4,5.25,0.660050255669789,AN,Abidjan,CIV,3802000,12,Africa,Ivory Coast,Africa,Sub-Saharan Africa,Western Africa,CÙte d'Ivoire
379601,1167,-48.5,-1.5,0.644530218094587,AN,Bel√©m,BRA,2167000,12,South America,Brazil,Americas,Latin America & Caribbean,South America,BrÈsil
380986,1168,-48,-15.75,0.568338575123838,AN,Brasilia,BRA,3716996,12,South America,Brazil,Americas,Latin America & Caribbean,South America,BrÈsil
371556,1169,-51.25,-30,0.571030307335384,AN,Porto Alegre,BRA,3917000,12,South America,Brazil,Americas,Latin America & Caribbean,South America,BrÈsil
377342,1170,-49.25,-25.5,0.745681713363438,AN,Curitiba,BRA,3084000,12,South America,Brazil,Americas,Latin America & Caribbean,South America,BrÈsil
408432,1171,-38.5,-3.75,0.491378156806935,AN,Fortaleza,BRA,3602319,12,South America,Brazil,Americas,Latin America & Caribbean,South America,BrÈsil
408395,1172,-38.5,-13,0.50354640468052,AN,Salvador,BRA,3484000,12,South America,Brazil,Americas,Latin America & Caribbean,South America,BrÈsil
192361,1173,-113.5,53.5,0.609203982985381,AN,Edmonton,CAN,1058000,12,North America,Canada,Americas,North America,Northern America,Canada
307689,1174,-73.5,45.5,0.628373761294466,AN,Montr√©al,CAN,3678000,12,North America,Canada,Americas,North America,Northern America,Canada
377377,1175,-49.25,-16.75,0.55727838060226,AN,Goi√¢nia,BRA,2022000,12,South America,Brazil,Americas,Latin America & Caribbean,South America,BrÈsil
418509,1176,-35,-8,0.56781596193711,AN,Recife,BRA,3651000,12,South America,Brazil,Americas,Latin America & Caribbean,South America,BrÈsil
531941,1177,4.25,50.75,0.6735623183124,AN,Bruxelles,BEL,1743000,12,Europe,Belgium,Europe,Europe & Central Asia,Western Europe,Belgique
780578,1178,90.5,23.75,0.521188570031275,AN,Dacca,BGD,12797394,14,Asia,Bangladesh,Asia,South Asia,Southern Asia,Bangladesh
557659,1179,13.25,-8.75,0.658535936903773,AN,Luanda,AGO,5172900,13,Africa,Angola,Africa,Sub-Saharan Africa,Middle Africa,Angola
