INSEE_COM,NOM_COM,val_NORRR1MM_TOT_m,val_NORRR_TOT
50431,Remilly Les Marais,12.3549118226528,1008.02562070666
32362,Saint-Aunix-Lengros,10.1952053145633,878.622675828801
32423,Séailles,9.88429629003678,852.358033238282
32135,Fustérouau,10.1910263771639,881.562089912963
14591,Aure sur Mer,11.2372031868707,767.839144486802
32458,Urgosse,10.1557975229396,875.073501582875
65387,Saint-Lanne,10.4711418324574,944.922879116493
85009,Auchay-sur-Vendée,10.0979399760377,765.916982121249
78165,Les Clayes-sous-Bois,9.99517990345044,668.259025154381
65130,Castelnau-Rivière-Basse,10.4329959453318,931.436704649664
07306,Sampzon,7.23895683233274,933.711291617931
32443,Termes-d'Armagnac,10.2317061681806,886.072906115553
32434,Sion,10.1196531917206,871.981994122509
39576,Val-Sonnette,11.8842348434432,1226.60874907094
54244,Hagéville,11.0470627691521,826.650240909063
39537,Trenal,11.7926726628325,1183.47377154643
50095,Canisy,11.9959024851105,1035.2567862941
77316,Moret Loing et Orvanne,10.2108309820736,690.633206213328
54200,Flirey,11.0776965720192,810.3814559527
32001,Aignan,9.55649437543916,797.621816566901
24053,Boulazac Isle Manoire,9.98603461994724,891.614775504004
24026,Bassillac et Auberoche,10.0229703295604,891.551075090095
24312,Sanilhac,9.98822946044195,896.137956964864
24147,Cubjac-Auvézère-Val d'Ans,10.104474715601,882.122063801683
65432,Soublecause,10.5507518969339,966.900138633472
17008,Andilly,9.87753244760157,790.009328631399
16204,Bellevigne,10.3687862308476,840.361369394927
81218,Puygouzon,8.58003268146715,729.860663740768
67202,Hochfelden,11.6039805863212,802.777105716515
51075,Bourgogne-Fresne,10.697813014738,687.592133985207
14527,Belle Vie en Auge,11.29841336345,725.591072806358
14654,Saint-Pierre-en-Auge,11.3244240131054,763.095232631848
14005,Valambray,11.2258682297381,728.683302727911
14456,Moult-Chicheboville,11.2051812155555,723.128924000646
14410,Méry-Bissières-en-Auge,11.249084141813,715.055923960021
14431,Mézidon Vallée d'Auge,11.4445209088245,762.710451768338
89003,Montholon,10.1451588748289,700.420242128378
25334,Levier,13.4268930078734,1513.86371836556
38456,Châtel-en-Trièves,9.88685277775846,1070.53335323892
79063,Val en Vignes,8.88605676013224,606.251940603546
24087,Castels et Bézenac,10.5400906747548,889.176939125154
69159,Porte des Pierres Dorées,9.95824058034658,784.170029971013
85152,Les Achards,10.0463427455813,802.274440401163
22209,Beaussais-sur-Mer,10.4379588656203,677.546782615192
46268,Saint Géry - Vers,10.193634496949,898.897807229215
14475,Val d'Arry,12.2379901079065,895.792018158251
08053,Bazeilles,12.1776880239918,1041.24987568644
50400,Picauville,12.6933722693555,1000.0531330284
03168,Meaulne-Vitray,10.1062467861216,752.991554970102
